Year,Persons_Trial_Completed,Total_Persons_under_Trial
2007,2298,12447
2007,0,1
2007,4910,39259
2007,1910,31478
2007,2,10
2007,16,157
2007,66,98
2007,8,15
2007,2157,19747
2007,61,357
2007,287,1677
2007,1780,14518
2007,6,41
2007,2079,6069
2007,159,362
2007,2695,12570
2007,169,790
2007,891,9862
2008,4,196
2008,2503,9964
2008,23,379
2008,832,2829
2008,734,4202
2008,22,117
2008,905,8939
2008,0,22
2008,1,8
2008,709,5219
2008,21,108
2008,887,10450
2008,469,2921
2008,213,1891
2008,756,10633
2008,341,1220
2008,1644,7680
2008,2174,13155
2008,0,1
2008,5726,39030
2008,2170,33378
2008,0,8
2008,27,159
2008,48,103
2008,6,18
2008,2828,21336
2008,41,372
2008,341,1845
2008,1863,15029
2008,22,52
2008,1490,6048
2008,163,515
2008,3584,13463
2008,161,769
2008,812,10507
2009,8,228
2009,3054,11045
2009,26,405
2009,738,2945
2009,668,4073
2009,25,119
2009,1045,9545
2009,0,24
2009,0,4
2009,516,5286
2009,12,108
2009,657,10443
2009,461,2994
2009,205,1965
2009,1101,11665
2009,337,1147
2009,1818,8421
2009,1963,13760
2009,1,1
2009,5393,38115
2009,2204,34512
2009,0,10
2009,11,195
2009,68,168
2009,10,22
2009,1683,22042
2009,80,381
2009,312,1819
2009,1553,15283
2009,18,62
2009,1754,6492
2009,366,702
2009,3564,13374
2009,250,744
2009,907,11279
2010,5,254
2010,2858,10902
2010,10,437
2010,697,3285
2010,615,4005
2010,35,124
2010,1638,10192
2010,2,29
2010,2,5
2010,731,5491
2010,39,134
2010,700,10712
2010,539,3123
2010,179,2119
2010,756,12405
2010,364,1119
2010,1910,9234
2010,1988,15069
2010,0,0
2010,5791,37234
2010,2389,35831
2010,0,10
2010,14,211
2010,134,181
2010,8,23
2010,2023,24624
2010,63,355
2010,453,1738
2010,1403,15758
2010,11,25
2010,1773,6336
2010,345,656
2010,3947,13389
2010,81,671
2010,797,12423
2001,0,6
2001,1870,4032
2001,0,4
2001,10,41
2001,40,156
2001,13,42
2001,161,1401
2001,0,1
2001,0,0
2001,78,609
2001,13,38
2001,63,881
2001,700,1682
2001,19,179
2001,261,1256
2001,20,160
2001,68,186
2001,59,328
2001,0,0
2001,739,3445
2001,508,7902
2001,0,0
2001,0,1
2001,0,0
2001,0,0
2001,443,1062
2001,27,69
2001,6,63
2001,72,377
2001,7,9
2001,1171,1829
2001,0,0
2001,2939,9808
2001,165,378
2001,33,93
2002,0,9
2002,1780,4040
2002,0,5
2002,5,36
2002,26,172
2002,20,62
2002,571,1354
2002,0,1
2002,0,0
2002,75,643
2002,5,32
2002,77,954
2002,1558,2592
2002,9,166
2002,390,1434
2002,12,152
2002,37,200
2002,72,369
2002,0,0
2002,550,3663
2002,794,8154
2002,0,0
2002,0,1
2002,1,1
2002,0,0
2002,175,866
2002,22,59
2002,124,224
2002,90,351
2002,4,4
2002,1820,2517
2002,0,0
2002,3498,9618
2002,88,349
2002,40,107
2003,0,11
2003,2099,5046
2003,0,5
2003,14,36
2003,75,183
2003,11,43
2003,132,915
2003,0,1
2003,0,0
2003,148,711
2003,8,33
2003,73,984
2003,1417,2394
2003,27,171
2003,340,1512
2003,5,167
2003,62,203
2003,60,460
2003,0,0
2003,680,3785
2003,573,8090
2003,0,0
2003,0,1
2003,0,0
2003,0,2
2003,213,990
2003,29,75
2003,108,270
2003,93,268
2003,3,3
2003,699,1520
2003,0,0
2003,4221,12166
2003,150,425
2003,50,129
2004,1,13
2004,1964,4898
2004,0,9
2004,11,37
2004,25,127
2004,12,47
2004,267,824
2004,0,1
2004,0,0
2004,90,692
2004,5,34
2004,66,1160
2004,1076,1915
2004,8,159
2004,338,1488
2004,5,186
2004,96,191
2004,111,468
2004,0,0
2004,669,3907
2004,433,8343
2004,0,0
2004,0,1
2004,0,0
2004,0,0
2004,165,1025
2004,17,83
2004,94,226
2004,55,188
2004,0,0
2004,980,1891
2004,0,0
2004,3226,11985
2004,65,508
2004,39,143
2005,3,14
2005,2448,5387
2005,0,9
2005,18,32
2005,21,74
2005,3,56
2005,145,658
2005,0,1
2005,0,0
2005,159,823
2005,3,36
2005,71,1216
2005,499,1607
2005,19,170
2005,308,1550
2005,45,199
2005,37,142
2005,205,618
2005,0,0
2005,641,3887
2005,541,9012
2005,0,0
2005,0,1
2005,2,3
2005,0,0
2005,97,1153
2005,26,85
2005,29,154
2005,36,164
2005,0,0
2005,787,1716
2005,1,1
2005,3891,13062
2005,63,627
2005,45,169
2006,1,19
2006,1907,5382
2006,3,10
2006,6,22
2006,37,100
2006,4,73
2006,103,673
2006,0,2
2006,0,0
2006,177,705
2006,3,31
2006,74,1277
2006,481,1689
2006,24,184
2006,348,1709
2006,16,220
2006,39,140
2006,129,618
2006,0,0
2006,839,4012
2006,516,9530
2006,0,0
2006,0,1
2006,3,4
2006,2,2
2006,210,1362
2006,15,123
2006,102,188
2006,29,158
2006,0,0
2006,726,1767
2006,0,0
2006,3227,12910
2006,127,749
2006,100,179
2007,0,18
2007,2419,6515
2007,0,13
2007,16,23
2007,18,81
2007,13,79
2007,87,681
2007,0,2
2007,0,0
2007,199,707
2007,8,34
2007,82,1357
2007,433,1783
2007,23,165
2007,293,1824
2007,142,222
2007,34,136
2007,133,765
2007,0,0
2007,847,4051
2007,617,10131
2007,0,0
2007,0,1
2007,0,1
2007,0,1
2007,165,1467
2007,32,153
2007,39,148
2007,30,158
2007,0,0
2007,753,1962
2007,1,4
2007,3503,13696
2007,68,642
2007,87,174
2008,0,20
2008,2295,6659
2008,0,14
2008,1,9
2008,7,91
2008,7,73
2008,88,720
2008,1,2
2008,0,0
2008,167,671
2008,4,34
2008,141,1451
2008,596,2066
2008,22,185
2008,236,1925
2008,83,135
2008,43,138
2008,150,910
2008,0,0
2008,991,3804
2008,749,10764
2008,0,0
2008,0,2
2008,0,1
2008,2,2
2008,188,1658
2008,13,136
2008,48,146
2008,41,137
2008,0,0
2008,939,2310
2008,1,9
2008,4434,14810
2008,252,938
2008,85,206
2009,0,24
2009,2592,7598
2009,0,16
2009,8,15
2009,31,104
2009,14,67
2009,137,839
2009,0,1
2009,0,1
2009,128,655
2009,9,36
2009,104,1496
2009,587,2186
2009,9,211
2009,295,2193
2009,29,87
2009,25,126
2009,226,1185
2009,0,0
2009,558,3617
2009,625,11159
2009,0,0
2009,1,3
2009,0,2
2009,0,0
2009,177,1760
2009,19,142
2009,44,138
2009,26,116
2009,0,0
2009,676,2022
2009,7,14
2009,3775,13927
2009,267,1111
2009,96,217
2010,0,35
2010,2654,7993
2010,0,16
2010,13,20
2010,9,93
2010,23,53
2010,147,937
2010,0,3
2010,1,3
2010,126,627
2010,6,48
2010,125,1526
2010,564,2227
2010,15,260
2010,273,2162
2010,20,95
2010,27,116
2010,268,1562
2010,0,0
2010,794,4035
2010,831,11871
2010,0,0
2010,0,1
2010,2,2
2010,0,3
2010,249,1929
2010,23,147
2010,33,117
2010,15,104
2010,0,0
2010,772,2098
2010,7,14
2010,4252,10060
2010,307,1133
2010,112,254
2001,6,23
2001,5960,20197
2001,1,20
2001,468,3570
2001,1842,9292
2001,42,333
2001,519,5731
2001,0,39
2001,7,25
2001,243,5040
2001,60,159
2001,4625,51419
2001,2342,12131
2001,258,2492
2001,69,249
2001,590,2066
2001,2302,9786
2001,2358,15359
2001,0,0
2001,3414,28240
2001,15698,138375
2001,0,0
2001,0,6
2001,0,0
2001,0,0
2001,1683,7309
2001,6,12
2001,1183,4576
2001,4960,31399
2001,0,0
2001,835,3588
2001,128,359
2001,9613,52979
2001,415,1487
2001,3987,34531
2002,3,20
2002,5878,22961
2002,0,23
2002,919,4433
2002,1500,10870
2002,20,313
2002,1272,5716
2002,14,48
2002,5,20
2002,470,5578
2002,17,109
2002,4535,55498
2002,2772,13035
2002,337,2568
2002,58,247
2002,966,2137
2002,2628,10305
2002,2619,17803
2002,0,0
2002,4199,31836
2002,16423,141366
2002,0,0
2002,0,6
2002,1,3
2002,0,0
2002,1357,7691
2002,1,18
2002,808,5774
2002,6438,32879
2002,0,0
2002,1179,4506
